Cluster,Genre,NaturalKey
5,alternative rock,motorcycle_emptiness_manic_street_preachers_1623752729
5,alternative rock,motorcycle_emptiness_manic_street_preachers_1596561550
5,alternative rock,motorcycle_emptiness_manic_street_preachers_1610451939
5,alternative rock,motorcycle_emptiness_manic_street_preachers_1610451939
5,alternative rock,motorcycle_emptiness_manic_street_preachers_1630602877
5,alternative rock,motorcycle_emptiness_manic_street_preachers_1630603182
5,alternative rock,motorcycle_emptiness_manic_street_preachers_1574608767
5,alternative rock,motorcycle_emptiness_manic_street_preachers_1607868363
5,alternative rock,motorcycle_emptiness_manic_street_preachers_1606930120
5,alternative rock,the_rapture_pt_ii__me_1624962130
5,alternative rock,on__me_1646239744
5,alternative rock,running_up_that_hill_placebo_1655982197
5,alternative rock,nancy_boy_placebo_1706724148
5,alternative rock,for_what_it_s_worth_placebo_1656155923
5,alternative rock,protect_me_from_what_i_want_placebo_1656157180
5,alternative rock,fix_it_ryan_adams___the_cardinals_1623754882
5,alternative rock,i_can_never_say_goodbye_the_cure_1730473773
5,alternative rock,drone_nodrone_the_cure_1730473488
5,alternative rock,endsong_the_cure_1730474457
5,alternative rock,paparazzi_lady_gaga_1376727460
5,alternative rock,paparazzi_lady_gaga_1378628231
5,alternative rock,paparazzi_lady_gaga_1376817387
5,alternative rock,viva_forever_spice_girls_1570897510
5,alternative rock,just_one_star_antony_and_the_johnsons_1712335218
5,alternative rock,guilty_the_rasmus_1572160528
5,alternative rock,soms_vraagt_een_mens_zich_af_gorki_1397312501
5,alternative rock,majesty_madrugada_1620892577
5,alternative rock,runaway_train_soul_asylum_1360787094
5,alternative rock,_your_love_keeps_lifting_me__higher___higher_jackie_wilson_1629387463
5,alternative rock,champions__round___round__champions_1471019520
5,alternative rock,blurry_puddle_of_mudd_1383303851
5,alternative rock,basket_case_green_day_1383303073
5,alternative rock,because_the_night_patti_smith_1655981917
5,alternative rock,rock_n_roll__feat__omaaj___melody_noel__tony_junior_1575212537
5,alternative rock,the_road_ahead__miles_of_the_unknown__city_to_city_1642605227
5,alternative rock,welcome_to_tomorrow__are_you_ready___snap__1570894147
5,alternative rock,die_laughing_therapy__1397312731
5,alternative rock,die_laughing_therapy__1653241758
5,alternative rock,never_never_the_assembly_1625312287
5,alternative rock,no_fear_the_rasmus_1572160280
5,alternative rock,rearrange_miles_kane_1724261931
5,alternative rock,that_leaving_feeling_stuart_a__staples_1607867616
5,alternative rock,black_pearl_jam_1574608306
5,alternative rock,1901_phoenix_1549637872
5,alternative rock,instant_crush_daft_punk_1370181363
5,alternative rock,la_la_la_naughty_boy_1386516876
5,alternative rock,la_la_la_naughty_boy_1384806739
5,alternative rock,rags__n__run_admiral_freebee_1667147785
5,alternative rock,oh_darkness_admiral_freebee_1612955992
5,alternative rock,mirrors_justin_timberlake_1373567606
5,alternative rock,mirrors_justin_timberlake_1667839052
5,alternative rock,dreaming_of_you_the_coral_1723993172
5,alternative rock,dreaming_of_you_the_coral_1723993028
5,alternative rock,let_her_go_passenger_1386518886
5,alternative rock,anniversary_song_cowboy_junkies_1540487883
5,alternative rock,the_post_cowboy_junkies_1540488198
5,alternative rock,cold_tea_blues_cowboy_junkies_1540488449
5,alternative rock,hard_to_explain_cowboy_junkies_1540487605
